Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Bánh chuối bơ lạc ốp la,Khoai lang chiên,Cơm chiên hải sản; Salad trộn ít dầu; Canh chua,Lẩu nấm chay; Rau luộc,Không chay,0,1,0,0,1,1,0,0,0,0,"Béo phì, Huyết áp, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Bổ sung sắt, tăng cường máu"
Yến mạch + dâu tây,Sữa chua Hy Lạp ,Miến măng vịt; Tôm nướng; Rau muống xào tỏi,Lẩu riêu cua bắp bò; Salad trộn ít dầu,Không chay,0,1,1,1,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc,Bánh lá nước cốt dừa,Bánh mì heo quay; Rau muống xào tỏi; Canh cá nấu rau,Hủ tiếu bò kho; Canh rau ngót,Không chay,0,1,0,1,0,0,0,0,0,0,"Béo phì, Rối loạn mỡ máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm mỡ bão hòa, tăng chất xơ hòa tan"
Bơ nướng trứng,Vú sữa lò rèn,Bún chả cá; Rau muống xào tỏi; Canh bí đỏ,Gà xào sả ớt; Canh rau ngót,Không chay,1,1,1,0,0,1,0,0,0,1,"Táo bón, Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + bơ,Chuối,Hủ tiếu Nam Vang; Cá hấp; Cải thìa xào,Bún bò Huế; Cải thìa xào; Khoai lang nhỏ,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bánh crep ngũ cốc, Bánh chuối cacao hấp nướng,Bún riêu cua; Cá hấp; Salad trộn ít dầu,Bánh bèo Huế; Ức gà áp chảo; Salad trộn ít dầu,Không chay,0,0,1,0,0,0,0,0,1,1,"Tim mạch, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bơ nướng trứng,Hạt hạnh nhân,Bún riêu cua; Cá hấp; Rau luộc,Bún mắm miền Tây; Ức gà áp chảo; Rau củ luộc,Không chay,0,0,1,0,0,1,1,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bắp luộc + sữa hạt,Khoai lang chiên,Bạch tuộc xào cay Hàn Quốc; Bún; Ức gà áp chảo,Miến gà; Rau luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Súp khoai tây,Chè đậu xanh,Mực xào sa tếCá basa sốt cà chua; Cơm trắng; Canh bí đỏ,Cơm sườn nướng mật ong; Canh rau ngót,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Hạt hạnh nhân,Canh chua cá lóc; Khoai lang; Trái cây ít đường,Bún chả cá; Salad trộn ít dầu,Không chay,0,0,1,0,0,0,1,0,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua thực vật + trái cây,Rau câu bánh plan,Canh Súp Mandu Rong Biển Đậu Hủ Chay; Cà tím nướng xạ hương chay; Mực xào sa tế (món chay),Đậu hũ sốt cà chua; Cải thìa xào,chay,1,0,0,0,0,0,0,1,0,0,"Táo bón, Thiếu canxi","Tăng chất xơ, uống đủ nước, Bổ sung canxi và vitamin D"
Chuối hấp,Chuối,Miến măng vịt; Ức gà áp chảo; Rau củ luộc,Cơm tấm sườn bì chả; Rau muống xào tỏi,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bún xào rau củ,Rau câu bánh plan,Sườn chay xào xả ớt; SALAD GIÁNG SINH - SALAD ĐẬU GÀ THUẦN CHAY; Canh rau ngót,Món chay dễ làm| Soup khoai tây bó xôi; Rau củ luộc,chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và nho kho,Xoài chín,Rau muống xào tỏi; Canh Bông Hẹ Đậu Hũ (Món Chay); Bò kho bánh mì chay,Chả nấm chay; Rau luộc,chay,0,0,1,1,1,0,0,1,0,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố bơ ,Sữa chua Hy Lạp,Miến gà; Salad trộn ít dầu; Canh mồng tơi,Rau muống xào tỏi; Trứng luộc,Không chay,0,0,1,0,1,1,0,1,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bơ nướng trứng,Hạt hạnh nhân,Lẩu tôm chua cay; Phở; Canh rau ngót,Bánh xèo miền Trung; Cá hấp; Rau củ luộc,Không chay,0,0,1,0,0,1,1,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Bánh trứng khoai lang ,Bánh mì chả cá; Cải thìa xào; Canh bí đỏ,Bánh khoai mì nướng; Canh rau ngót; Tôm nướng,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Sữa chua Hy Lạp ,Lẩu ếch măng chua; Bánh mì; Bò xào nhẹ,Lẩu riêu cua bắp bò; Salad trộn ít dầu,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Phô mai tươi và trái cây,Bánh lá nước cốt dừa,Súp gà nấm đông cô; Bánh mì; Salad trộn ít dầu,Bánh cam đường; Trứng luộc; Rau muống xào tỏi,Không chay,0,0,1,1,1,1,0,0,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Hạt hạnh nhân,Miến lươn; Ức gà áp chảo; Canh rau ngót,Miến gà; Salad trộn ít dầu,Không chay,0,1,1,0,1,0,1,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Bánh lá nước cốt dừa,Bún bò Huế; Cải thìa xào; Canh chua,Cơm niêu cá kho tộ; Salad trộn ít dầu,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh crep ngũ cốc,Rau câu bánh plan,Chả Đùm Óc Đậu Chay; Đậu phụ sốt; Canh rau ngót,Mì Chũ hấp/luộc Rau Củ Chay (Vegan); Cải thìa xào,chay,0,0,1,0,0,0,0,1,0,1,"Tim mạch, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh crep ngũ cốc, Bánh chuối cacao hấp nướng,Bánh cuốn Thanh Trì; Tôm nướng; Salad trộn ít dầu,Cháo gà; Rau luộc,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp + sữa hạt,Sữa chua Hy Lạp,Cơm chiên hải sản; Rau luộc; Canh chua,Miến măng vịt; Đậu phụ sốt; Rau muống xào tỏi,Không chay,0,0,0,0,0,0,1,1,0,0,"Thiếu kẽm, Thiếu canxi","Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D"
Bún xào rau củ,Rau câu bánh plan,Sườn chay khìa sốt tiêu đen; Khổ Qua Kho Nấm Mỡ (Vegan); Canh Rong Mứt Chay,Bibimbap chay - (cơm trộn HQ); Cải thìa xào,chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Bơ nướng trứng,Hạt hạnh nhân,Cơm rang dưa bò; Canh mồng tơi; Trái cây ít đường,Bò xào cần tỏi; Cải thìa xào,Không chay,0,0,1,0,0,1,1,0,0,1,"Tim mạch, Thiếu máu, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng tráng nấm,Vú sữa lò rèn,Súp cua trứng bắc thảo; Phở; Salad trộn ít dầu,Chân giò hầm hạt sen; Trứng luộc; Rau muống xào tỏi,Không chay,0,1,1,0,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng tráng nấm,Hạt hạnh nhân,Cơm tấm sườn bì chả; Rau luộc; Canh chua,Cơm gà Hải Nam; Rau luộc,Không chay,0,0,1,0,0,1,1,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp + sữa hạt, Bánh chuối cacao hấp nướng,Tôm hấp bia; Bánh mì; Canh rau ngót,Mực hấp/luộc sa tếCá basa sốt cà chua; Cải thìa xào,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + dâu tây,Hạt hạnh nhân,Bánh mì chả cá; Rau củ luộc; Canh mồng tơi,Miến gà; Rau luộc; Cơm trắng ít,Không chay,0,0,1,1,1,0,1,0,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Suy dinh dưỡng, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Trứng tráng nấm,Xoài chín,Trứng hấp Hàn Quốc; Cơm trắng; Rau củ luộc,Thịt ba chỉ luộc chấm mắm tép; Ức gà áp chảo,Không chay,1,0,1,0,0,1,0,0,1,1,"Táo bón, Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Sữa chua Hy Lạp ,Bánh mì chả cá; Canh rau ngót; Canh cá nấu rau,Bánh khọt Vũng Tàu; Tôm nướng; Rau muống xào tỏi,Không chay,0,0,0,0,0,0,0,1,1,0,"Suy dinh dưỡng, Thiếu canxi","Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Bánh mì đen + trứng ốp la,Sữa chua Hy Lạp ,Miến gà; Salad trộn ít dầu; Canh cá nấu rau,Bánh cuốn nhân thịt; Cải thìa xào; Khoai lang nhỏ,Không chay,0,1,1,0,1,1,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Vú sữa lò rèn,Canh đậu hũ non hải sản; Phở; Dưa góp,Canh đậu hũ non hải sản; Cải thìa xào,Không chay,1,0,0,0,0,0,0,1,0,0,"Táo bón, Thiếu canxi","Tăng chất xơ, uống đủ nước, Bổ sung canxi và vitamin D"
Yogurt chuối và nho kho + chuối,Xoài chín,Bánh cam đường; Tôm nướng; Rau muống xào tỏi,Lẩu tôm chua cay; Rau luộc,Không chay,0,0,1,1,1,0,0,0,0,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc ốp la,Xoài chín,Đậu bắp luộc chấm mắm ruốc; Bún; Canh cá nấu rau,Bánh rán Doraemon; Rau củ luộc; Đậu phụ hấp,Không chay,1,0,0,0,0,1,0,0,1,0,"Táo bón, Thiếu máu, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
Súp khoai tây, Bánh chuối cacao hấp nướng,Bánh tiêu nhân đậu xanh; Rau muống xào tỏi; Canh cá nấu rau,Bánh căn Đà Lạt; Cá hấp; Salad trộn ít dầu,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc,Bánh trứng khoai lang ,Bánh mì chả cá; Cải thìa xào; Canh cá nấu rau,Bánh xèo miền Trung; Cá hấp; Salad trộn ít dầu,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Rau câu bánh plan,Nấm Kim Châm Cuộn Rong Biển Chiên Giòn Chay; Canh rau ngót; Gỏi bóng cá chay trộn gỏi dưa leo siêu dễ làm,Chả chay kho riềng; Đậu phụ sốt; Canh rau ngót,chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Chuối hấp + sữa hạt,Xoài chín,Thịt ba chỉ luộc chấm mắm tép; Khoai lang; Canh chua,Súp cua trứng bắc thảo; Rau củ luộc,Không chay,0,0,1,0,0,1,0,0,0,1,"Tim mạch, Thiếu máu, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + bơ,Chuối,Mực xào sa tếCá basa sốt cà chua; Phở; Canh bí đỏ,Trứng hấp Hàn Quốc; Rau muống xào tỏi,Không chay,0,1,0,0,0,1,0,1,0,0,"Béo phì, Thiếu máu, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D"
Sữa chua thực vật + trái cây,Bánh da lơn,Bì Cuốn Nấm Chay; Cải thìa xào; Nộm đu đủ chay,Xôi đậu xanh; Đậu phụ sốt,chay,1,0,0,0,0,0,0,1,0,0,"Táo bón, Thiếu canxi","Tăng chất xơ, uống đủ nước, Bổ sung canxi và vitamin D"
Bánh kếp yến mạch,Đào,Cháo lòng; Tôm nướng; Rau củ luộc,Gà hấp muối; Salad trộn ít dầu,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Hạt hạnh nhân,Bánh mì bơ đường; Cá hấp; Rau luộc,Lẩu tôm chua cay; Rau củ luộc,Không chay,0,0,1,0,0,0,1,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + bơ,Chuối,Súp cua trứng bắc thảo; Cơm trắng; Rau luộc,Cháo gà; Cải thìa xào,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và hạnh nhân + chuối,Xoài chín,Tôm hấp bia; Khoai lang; Rau củ luộc,Chả lá lốt hấp; Đậu phụ sốt; Rau luộc,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + dâu tây,Hạt hạnh nhân,Canh đậu hũ non hải sản; Bánh mì; Trái cây ít đường,Lẩu nấm chay; Salad trộn ít dầu,Không chay,0,0,1,0,1,0,1,0,0,1,"Tim mạch, Huyết áp, Thiếu kẽm, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Chè vải hạt sen,Bánh mì bơ đường; Đậu phụ sốt; Rau muống xào tỏi,Cơm gà Hội An; Canh rau ngót,Không chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh chuối bơ lạc ốp la,Sữa chua Hy Lạp,Lòng non xào dưa chua; Bánh mì; Ức gà áp chảo,Canh đậu hũ non hải sản; Rau luộc,Không chay,0,1,1,0,0,1,0,1,0,1,"Béo phì, Tim mạch, Thiếu máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Súp khoai tây,Xoài chín,Cơm gà Hải Nam; Rau củ luộc; Canh chua,Cơm sườn nướng mật ong; Rau củ luộc,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và hạnh nhân + chuối,Chè đậu xanh,Súp gà nấm đông cô; Cơm trắng; Canh rau ngót,Canh đậu hũ non hải sản; Tôm nướng,Không chay,0,1,1,1,1,0,1,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua thực vật + trái cây,Bánh da lơn,Cải thìa sốt nấm đông cô và sườn gà chay; Nấm Mỡ hấp/luộc Cần Tây (Vegan); Rau muống xào tỏi,Giò heo cuộn chiên giòn (món chay); Canh chay đậu hủ nấu mướp và rau,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Bún xào rau củ,Xoài chín,Phở Chay Nấm Đậu Phụ (Vegan); Khổ qua kho chay; Rau muống xào tỏi,Tàu Hũ Ky Cuộn Kho Thơm Nấm (Món chay); Gỏi KHỔ QUA chay,chay,1,0,0,0,0,0,0,0,0,0,Táo bón,"Tăng chất xơ, uống đủ nước"
Chuối hấp,Chè dừa dầm ,Rau muống xào tỏi; Bánh mì; Đậu phụ sốt,Cơm nắm muối mè; Canh rau ngót; Tôm nướng,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yogurt chuối và hạnh nhân,Bánh da lơn,Bông Kim Châm Kho Rau Củ Chay; Miến nấm rau răm (Miến lươn chay); Canh chay rong biển đậu hủ nấm kim châm,Bánh tiêu nhân đậu xanh; Cải thìa xào,chay,0,1,1,1,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh crep ngũ cốc,Sữa chua Hy Lạp,Canh gà lá giang; Phở; Kim chi ít cay,Nghêu hấp sả; Tôm nướng; Rau luộc,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Súp khoai tây,Khoai lang chiên,Canh kim chi Hàn Quốc; Phở; Ức gà áp chảo,Phở gà; Salad trộn ít dầu,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối hấp,Bánh da lơn,Đậu non sốt nấm hành (món chay); Rau củ luộc; Canh cá nấu rau,Món chay dễ làm| Soup khoai tây bó xôi; Cải thìa xào,chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
